skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;zl_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
przyprawa;przyprawa;Przyprawa Uniwersalna Auchan 1 kg;1000.0;g;0.7;6.99;auchan;100.0;0.0;0.0;0.0;0.0
przyprawa do bulionu drobiowego;przyprawa do ryb;Przyprawa do ryb Kamis 30 g;20.0;g;12.4;2.48;auchan;93.3;150.0;5.0;2.0;30.0
płatki chex;płatki;Płatki Chocapic XXL Nestle  600 g;600.0;g;3.06;18.39;auchan;100.0;350.0;10.0;5.0;70.0
płatki drożdżowe;płatki drożdżowe;BIO Płatki drożdżowe BioLife 100 g;100.0;g;28.49;28.49;auchan;100.0;350.0;50.0;5.0;35.0
płatki owsiane;płatki owsiane;Płatki owsiane  Sante 500 g;500.0;g;1.14;5.68;auchan;100.0;389.0;16.9;6.9;66.3
ricotta;ricotta;Ricotta Auchan 250 g;250.0;g;2.38;5.95;auchan;100.0;174.0;11.3;13.0;3.0
rodzynki;rodzynki;Bakallino Rodzynki sułtańskie 400 g;400.0;g;2.12;8.49;biedronka;100.0;299.0;3.1;0.5;79.2
rozmaryn;rozmaryn;Rozmaryn Kamis 15 g;15.0;g;16.53;2.48;auchan;100.0;131.0;3.3;5.9;20.7
rukola;rukola;Rukola Warzywa Auchan 150 g;150.0;g;3.66;5.49;auchan;100.0;25.0;2.6;0.7;3.7
dziki ryż;ryż;Ryż długoziarnisty Sollana 1 kg;1000.0;g;1.0;9.99;auchan;100.0;130.0;2.7;0.3;28.2
ryż basmati;ryż basmati;Plony Natury Ryż basmati długoziarnisty 400 g;400.0;g;1.25;4.99;biedronka;100.0;357.0;7.1;0.7;79.0
ryż biały;ryż biały;Ryż biały długoziarnisty Auchan 500 g;500.0;g;0.66;3.28;auchan;100.0;130.0;2.7;0.3;28.2
brązowy ryż;ryż brązowy;Ryż brązowy długoziarnisty Auchan 4 x 100 g;400.0;g;0.82;3.29;auchan;100.0;111.0;2.6;0.9;23.0
ryż jaśminowy;ryż jaśminowy;Ryż jaśminowy Auchan 4 x 100 g;400.0;g;0.82;3.29;auchan;100.0;130.0;2.7;0.3;28.7
rzodkiewka;rzodkiewka;Rzodkiewka pęczek;1.0;pcs;0.0;2.99;biedronka;100.0;16.0;0.7;0.1;3.4
salami;salami z pomidorami i bazylią;Salami z pomidorami i bazylią Serenada 135 g;135.0;g;4.73;6.39;auchan;100.0;350.0;18.0;28.0;4.0
sałata;sałata;Sałata Pak Choi Warzywa Auchan sztuka;100.0;g;9.19;9.19;auchan;100.0;15.0;1.4;0.2;2.9
sałata masłowa;sałata masłowa;Sałata masłowa Warzywa Auchan 1 sztuka;100.0;g;3.99;3.99;auchan;100.0;13.0;1.4;0.2;2.2
sałata rzymska;sałata rzymska;Sałata rzymska               Warzywa Auchan 1sztuka;100.0;g;6.99;6.99;auchan;100.0;17.0;1.2;0.3;3.3
seler;seler;Seler korzeń Warzywa Auchan na wagę ok. 800 g;;;0.5;3.99;auchan;100.0;16.0;0.7;0.2;3.0
seler naciowy;seler naciowy;BIO Seler naciowy  Naturally Organic 400 g;400.0;g;2.25;8.98;auchan;100.0;16.0;0.7;0.2;3.0
ser;ser;Ser Gouda plastry Włoszczowa na wagę ok. 250 g;;;2.75;6.88;auchan;100.0;404.0;25.0;33.1;1.3
ser w kawałku;ser blue gourmage w kawałku;Ser Blue Gourmage w kawałku Eurial na wagę ok. 200 g;;;7.49;14.98;auchan;91.7;353.0;21.0;29.0;2.0
ser gruyere;ser gruyere dojrzewający twardy;Ser Gruyere dojrzewający twardy EntreMont 200 g;200.0;g;12.49;24.98;auchan;100.0;413.0;29.8;32.3;0.4
halloumi;ser halloumi;Elios Ser halloumi 225 g;225.0;g;5.24;11.79;biedronka;100.0;321.0;21.0;25.0;2.0
ser kozi;ser kozi;Ser kozi Manouri   Auchan Collection  na wagę ok. 170 g;;;8.99;15.28;auchan;100.0;364.0;21.0;30.0;0.0
ser pleśniowy;ser pleśniowy;Ser pleśniowy Błękitny Lazur 100 g;100.0;g;5.88;5.88;auchan;100.0;353.0;21.0;29.0;2.0
ser wegański;ser wegański ser bez laktozy;Ser wegański kremowy cheddar bez laktozy Violife 150 g;150.0;g;8.26;12.39;auchan;100.0;250.0;1.0;20.0;15.0
czarny sezam;sezam czarny;Sezam czarny Makar 500 g;500.0;g;2.85;14.25;auchan;100.0;573.0;17.7;49.7;23.5
mielone siemię lniane;siemię lniane;Siemię lniane Auchan 1 kg;1000.0;g;0.99;9.9;auchan;100.0;534.0;18.3;42.2;28.9
skrobia kukurydziana;skrobia kukurydziana;BIO Ekologiczna skrobia kukurydziana NaturaVena 250 g;250.0;g;3.92;9.79;auchan;100.0;381.0;0.3;0.1;91.3
skrzydełko z kurczaka;skrzydełka z kurczaka;Skrzydełka z kurczaka Auchan na wagę ok. 400 g;;;1.09;4.36;auchan;95.2;203.0;18.3;13.9;0.0
smietana;smietana;Smietana 18% ekstra kremowa Zott 330 g;330.0;g;1.62;5.34;auchan;100.0;;;;
soczewica;soczewica;Soczewica konserwowa Rolnik 400 g;240.0;g;1.54;3.69;auchan;100.0;116.0;9.0;0.4;20.1
soczewica czerwona;soczewica czerwona;Plony Natury Soczewica czerwona 500 g;500.0;g;1.0;4.99;biedronka;100.0;116.0;9.0;0.4;20.1
sok z cytryny;sok z cytryn;Sok z cytryn NFC Giancarlo Polenghi 125 ml;125.0;ml;3.67;4.59;auchan;100.0;22.0;0.4;0.2;6.9
sos;sos;Sos sałatkowy francuski Vinaigrette   Prymat 9 g;9.0;g;10.89;0.98;auchan;100.0;100.0;1.0;5.0;12.0
sos czosnkowy do makaronu;sos czosnkowy typ;Sos sałatkowy czosnkowy typ Cezar Prymat 9 g;9.0;g;10.89;0.98;auchan;90.3;400.0;1.0;40.0;8.0
sos grecki;sos grecki;Sos sałatkowy grecki  Knorr 9 g;9.0;g;16.0;1.44;auchan;100.0;200.0;2.0;18.0;8.0
sos włoski;sos włoski;Sos sałatkowy włoski Knorr 8 g;8.0;g;18.0;1.44;auchan;100.0;150.0;1.0;12.0;10.0
 stewia;stewia;Stevia słodzik pochodzenia naturalnego z inuliną Zielony listek 140 g;140.0;g;8.92;12.49;auchan;100.0;0.0;0.0;0.0;0.0
syrop daktylowy;syrop;BIO Syrop daktylowy  BioLife 345 g;345.0;g;5.04;17.39;auchan;100.0;300.0;0.0;0.0;80.0
syrop klonowy;syrop klonowy;BIO Syrop klonowy Auchan 250 g;250.0;g;8.0;19.99;auchan;100.0;260.0;0.0;0.1;67.0
szalotka;szalotka;Szalotka Warzywa Auchan 250 g;250.0;g;2.6;6.49;auchan;100.0;72.0;2.5;0.1;16.8
szczypiorek;szczypiorek;Szczypiorek pęczek;1.0;pcs;0.0;2.99;biedronka;100.0;32.0;1.8;0.2;7.3
szparagi;szparagi;Szparagi Pewni Dobrego 300 g;300.0;g;5.0;14.99;auchan;100.0;20.0;2.2;0.1;3.9
szpinak;szpinak;Szpinak Warzywa Auchan 200 g;200.0;g;3.44;6.89;auchan;100.0;23.0;2.9;0.4;3.6
szpinak baby;szpinak baby;BIO szpinak baby Fit & Easy 150 g;150.0;g;6.13;9.19;auchan;100.0;23.0;2.9;0.4;3.6
sos z indyka;szyja z indyka;Szyja z indyka Auchan na wagę ok. 600 g;;;1.19;7.14;auchan;85.7;150.0;20.0;7.0;0.0
szynka;szynka;Szynka konserwowa premium Krakus 300 g;300.0;g;3.83;11.48;auchan;100.0;145.0;20.9;6.3;1.5
sól;sól jodowana;Sól jodowana Solino 1 kg;1000.0;g;0.42;4.19;auchan;100.0;0.0;0.0;0.0;0.0
sól morska;sól morska jodowana;Sól morska jodowana Prymat 110 g;110.0;g;5.71;6.28;auchan;100.0;0.0;0.0;0.0;0.0
tahini;tahini;Elios Tahini klasyczne 300 g;300.0;g;3.33;9.99;biedronka;100.0;595.0;17.0;53.8;21.2
tortilla;tortilla wraps placki wieloziarniste;Pano Tortilla Wraps Placki wieloziarniste 306 g;306.0;g;1.62;4.95;biedronka;100.0;300.0;8.0;7.0;50.0
truskawka;truskawka;100% truskawka z regionu Łowicza Pewni Dobrego 230 g;230.0;g;2.82;6.49;auchan;100.0;32.0;0.7;0.3;7.7
truskawki;truskawki;Truskawki Owoce  Auchan 500 g;500.0;g;2.4;11.99;auchan;100.0;32.0;0.7;0.3;7.7
tuńczyk;tuńczyk kawałki w sosie własnym;Tuńczyk kawałki w sosie własnym GRAAL 170 g;120.0;g;7.48;8.98;auchan;100.0;116.0;26.0;0.8;0.0
twaróg;twaróg;Twaróg chudy Auchan 250 g;250.0;g;1.46;3.65;auchan;100.0;98.0;11.1;4.3;3.4
tymianek;tymianek;BIO Tymianek  Pewni Dobrego sztuka;100.0;g;9.49;9.49;auchan;100.0;101.0;5.6;1.7;24.5
wieprzowina;wieprzowina;Nogi wieprzowe tylne tacka Auchan na wagę ok. 800 g;;;0.8;6.39;auchan;100.0;242.0;27.3;14.4;0.0
czerwone winogrona;winogrona;Winogrona Owoce  Auchan na wagę ok. 600 g;;;2.0;11.99;auchan;100.0;69.0;0.7;0.2;18.1
wiórki kokosowe;wiórki kokosowe;Bakello Wiórki kokosowe 200 g;200.0;g;2.5;4.99;biedronka;100.0;660.0;6.9;64.5;23.7
wołowina;wołowina;Kraina Mięs Porcja rosołowa wołowa;800.0;g;2.79;22.32;biedronka;100.0;250.0;26.0;15.0;0.0
zamiennik jajka;zamiennik jajek w proszku veggs;Zamiennik jajek w proszku vEGGs 64 g;102.0;g;22.05;22.49;auchan;93.3;333.0;0.0;0.0;83.3
ziele angielskie;ziele angielskie;Ziele angielskie  Auchan 15 g;15.0;g;8.6;1.29;auchan;100.0;263.0;6.1;8.7;72.1
zielone oliwki;zielone oliwki nadziewane migdałami;Zielone oliwki nadziewane migdałami Auchan 100 g;100.0;g;6.39;6.39;auchan;100.0;145.0;1.5;13.9;3.8
fioletowe ziemniaki;ziemniaki;Ziemniaki sałatkowe 1,5 kg;1500.0;g;0.4;5.99;biedronka;100.0;77.0;2.0;0.1;17.5
czerwony ziemniak;ziemniaki czerwone;Ziemniaki czerwone Warzywa Auchan 2 kg;2000.0;g;0.4;7.99;auchan;91.4;70.0;1.9;0.1;15.9
zioła;zioła;Zioła Prowansalskie   Auchan 10 g;10.0;g;12.9;1.29;auchan;100.0;0.0;0.0;0.0;0.0
łopatka wieprzowa;łopatka;Łopatka bez kości Auchan na wagę ok. 1 kg;;;1.9;18.99;auchan;100.0;242.0;19.5;17.7;0.0
wędzony łosoś;łosoś;Marinero Łosoś Norweski wędzony plastry 150 g;150.0;g;11.99;17.99;biedronka;100.0;208.0;20.4;13.4;0.0
śmietana;śmietana;Śmietana 12%  Auchan 330 g;330.0;g;0.9;2.98;auchan;100.0;198.0;2.4;19.3;4.6
śmietanka 30%;śmietanka;Śmietanka UHT 18% Auchan 250 ml;250.0;ml;1.35;3.38;auchan;100.0;345.0;2.8;36.1;3.0
bułka śniadaniowa;śniadaniowa;Śniadaniowa klasyczna Bielmar 450 g;450.0;g;1.2;5.39;auchan;100.0;268.0;14.1;22.5;1.5
kiełbaski śniadaniowe;śniadaniowe;Śniadaniowe z Łukowa 63% Lumiko 270 g;270.0;g;1.44;3.89;auchan;100.0;379.0;7.5;2.5;83.0
żeberka wołowe;żeberka;Żeberka wędzone Mościbrody na wagę ok. 900 g;;;1.6;14.39;auchan;100.0;277.0;16.9;22.8;0.0
żurawina;żurawina;Bakallino Żurawina suszona, cięta 300 g;300.0;g;3.33;9.99;biedronka;100.0;46.0;0.4;0.1;12.2
